2025-11-24 11:14:08,692 | INFO | SaraphinaGUI | [ENV] Applied keys: ['OPENAI_API_KEY', 'ELEVEN_API_KEY', 'ELEVENLABS_API_KEY', 'SELF_MOD_ENABLE', 'SELF_MOD_OWNER_TOKEN']
2025-11-24 11:14:08,692 | WARNING | SaraphinaGUI | [ENV] Ignored keys (not in allow-list): ['DEBUG_MODE', 'BRAND_VIBE', 'RECALL_DEPTH', 'SUPABASE_URL', 'SUPABASE_API_KEY', 'SUPABASE_TABLE', 'COHERE_API_KEY', 'METRICS_ADDR', 'METRICS_PORT', 'METRICS_URL', 'METRICS_LINGER_SECS', 'HEARTBEAT_SECS', 'HEALTH_LOOKBACK_SECS', 'SELF_REPAIR_PROVIDER', 'COPILOT_CLI_PATH', 'COPILOT_MAX_TOKENS', 'LOCAL_MODEL_PATH', 'SELF_REPAIR_PROVIDER', 'CORE_LIBRARY_PATH', 'DRY_RUN', 'GITHUB_USERNAME', 'GITHUB_PASSWORD', 'SARA_API_BASE_URL', 'LLM_ENDPOINT', 'LLM_MODEL', 'OLLAMA_BASE_URL', 'API_TIMEOUT', 'API_MAX_RETRIES', 'API_RETRY_BACKOFF', 'HEALTH_CHECK_TIMEOUT', 'HEALTH_CHECK_INTERVAL', 'ENABLE_VJR', 'VJR_MODE', 'VJR_INTEGRATION_LEVEL', 'VJR_CREATOR_AUTHORITY', 'VJR_PERFORMANCE_THRESHOLD', 'VJR_EMERGENCY_THRESHOLD', 'VJR_MONITORING_ENABLED', 'VJR_UNIFIED_INTELLIGENCE']
2025-11-24 11:14:08,692 | INFO | SaraphinaGUI | [TEMP] Using temp dir: D:\Saraphina Root\temp_real
2025-11-24 11:14:18,331 | INFO | SaraphinaGUI | simpleaudio NOT available — falling back to elevenlabs.play
2025-11-24 11:14:18,332 | INFO | SaraphinaGUI | ElevenHybridVoiceManager initialized successfully (v2 API).
2025-11-24 11:14:18,332 | DEBUG | SaraphinaGUI | Eleven voice worker loop started.
2025-11-24 11:15:46,948 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2025-11-24 11:15:46,949 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-11-24 11:15:46,953 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): huggingface.co:443
2025-11-24 11:15:48,251 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
2025-11-24 11:15:48,450 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 0
2025-11-24 11:15:48,833 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2025-11-24 11:15:49,032 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0
2025-11-24 11:15:49,317 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2025-11-24 11:15:49,515 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0
2025-11-24 11:15:49,802 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 307 0
2025-11-24 11:15:49,997 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/README.md HTTP/1.1" 200 0
2025-11-24 11:15:50,303 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
2025-11-24 11:15:50,499 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 0
2025-11-24 11:15:50,785 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json HTTP/1.1" 307 0
2025-11-24 11:15:50,997 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/sentence_bert_config.json HTTP/1.1" 200 0
2025-11-24 11:15:51,289 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json HTTP/1.1" 404 0
2025-11-24 11:15:51,824 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json HTTP/1.1" 307 0
2025-11-24 11:15:52,026 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json HTTP/1.1" 200 0
2025-11-24 11:15:53,087 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json HTTP/1.1" 307 0
2025-11-24 11:15:53,288 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/tokenizer_config.json HTTP/1.1" 200 0
2025-11-24 11:15:53,627 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main/additional_chat_templates?recursive=False&expand=False HTTP/1.1" 404 64
2025-11-24 11:15:54,048 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/1_Pooling/config.json HTTP/1.1" 307 0
2025-11-24 11:15:54,250 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/1_Pooling%2Fconfig.json HTTP/1.1" 200 0
2025-11-24 11:15:54,561 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2 HTTP/1.1" 200 6908
2025-11-24 11:15:55,172 | INFO | SelfModificationEngine | OpenAI CodeFactory enabled for SelfModificationEngine.
2025-11-24 11:16:12,083 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /facebook/bart-large-cnn/resolve/main/config.json HTTP/1.1" 307 0
2025-11-24 11:16:12,285 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/facebook/bart-large-cnn/37f520fa929c961707657b28798b30c003dd100b/config.json HTTP/1.1" 200 0
2025-11-24 11:16:15,169 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /facebook/bart-large-cnn/resolve/main/generation_config.json HTTP/1.1" 307 0
2025-11-24 11:16:15,364 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/facebook/bart-large-cnn/37f520fa929c961707657b28798b30c003dd100b/generation_config.json HTTP/1.1" 200 0
2025-11-24 11:16:15,651 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /facebook/bart-large-cnn/resolve/main/custom_generate/generate.py HTTP/1.1" 404 0
